ID,Song Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Top 50
0,Os Barões Da Pisadinha,Recairei - Ao Vivo,0.582,0.937,10,-2.118,1,0.0858,0.449,0,0.684,0.939,168.096,4,Yes
1,Jonas Esticado,Investe Em Mim,0.632,0.953,9,-1.283,1,0.0325,0.317,0,0.125,0.798,160.061,4,Yes
2,MC Rogerinho,Só Você,0.834,0.522,0,-4.433,1,0.0479,0.023,0,0.663,0.892,129.96,4,Yes
3,Gusttavo Lima,De Menina pra Mulher - Ao Vivo,0.83,0.92,4,-2.303,1,0.0352,0.118,2.12E-06,0.234,0.967,121.982,4,Yes
4,Douglas & Vinicius,Figurinha - Ao Vivo,0.591,0.757,7,-3.322,1,0.0734,0.346,0,0.931,0.574,76.094,4,Yes
5,Niack,Oh Juliana,0.799,0.568,6,-3.089,1,0.25,0.387,0,0.0892,0.963,129.63,4,Yes
6,Os Barões Da Pisadinha,Basta Você Me Ligar (feat. Xand Avião) - Ao Vivo,0.599,0.914,5,-2.415,0,0.0629,0.5,0,0.694,0.831,168.008,4,Yes
7,Marília Mendonça,Quero Você do Jeito Que Quiser,0.698,0.604,4,-4.574,1,0.0457,0.501,0,0.251,0.353,127.707,4,Yes
8,Eric Land,Cidade Inteira,0.57,0.907,7,-3.086,1,0.038,0.609,0,0.135,0.964,168.036,4,Yes
9,Dilsinho,Sogra - Ao Vivo,0.52,0.74,11,-7.185,1,0.0703,0.555,0,0.951,0.778,138.097,4,Yes
10,Anitta,Me Gusta (with Cardi B & Myke Towers),0.91,0.604,6,-4.392,0,0.082,0.448,0,0.0863,0.807,110.075,4,Yes
11,Matheus & Kauan,Nem Doeu - Ao Vivo,0.591,0.887,6,-7.909,0,0.236,0.145,0,0.23,0.659,159.854,4,Yes
12,Mc Jacare,Comprei um Lança,0.652,0.723,7,-7.576,1,0.112,0.238,0.000349,0.0719,0.53,130.759,3,Yes
13,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,0.394,0.918,7,-2.657,1,0.334,0.342,0,0.982,0.588,157.925,4,Yes
14,Os Barões Da Pisadinha,Tá Rocheda,0.775,0.886,6,-6.68,0,0.0476,0.589,7.71E-06,0.0991,0.939,172.013,4,Yes
15,Henrique & Juliano,Volta por Baixo - Ao Vivo,0.531,0.771,10,-5.897,1,0.05,0.386,0,0.942,0.467,123.414,4,Yes
16,Pineapple StormTv,Poesia Acústica #9: Melhor Forma,0.733,0.688,1,-5.458,0,0.0672,0.455,0,0.117,0.654,130.026,4,Yes
17,Mc Don Juan,Vai Ter Que Aguentar,0.691,0.558,6,-6.64,1,0.0455,0.331,0,0.0545,0.905,125.87,4,Yes
18,Ariana Grande,positions,0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005,4,Yes
19,João Bosco e Gabriel,Alô Ex-Amor - Ao Vivo,0.701,0.867,10,-2.982,0,0.104,0.572,5.15E-06,0.788,0.937,169.898,4,Yes
20,Tierry,Rita,0.512,0.677,11,-3.909,1,0.068,0.212,0,0.43,0.776,132.241,4,Yes
21,Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,0.695,0.872,9,-3.65,1,0.0868,0.334,0,0.954,0.646,121.843,4,Yes
22,Jorge & Mateus,Ranking,0.666,0.846,1,-3.654,1,0.174,0.0883,0,0.084,0.782,144.479,4,Yes
23,Hungria Hip Hop,Amor e Fé - Acústico,0.632,0.697,4,-7.086,0,0.0377,0.589,0,0.375,0.837,135.961,4,Yes
24,Matuê,Máquina do Tempo,0.629,0.727,4,-4.387,0,0.0499,0.0647,0,0.138,0.132,149.978,4,Yes
25,Zé Felipe,Só Tem Eu,0.797,0.531,1,-10.554,1,0.0472,0.114,0,0.104,0.869,129.995,4,Yes
26,Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,Yes
27,Mc Zaac,Desce Pro Play (PA PA PA),0.935,0.71,11,-5.085,0,0.158,0.0769,1.92E-06,0.173,0.635,100.009,4,Yes
28,Grupo Menos É Mais,Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),0.437,0.798,2,-3.928,1,0.0792,0.603,0,0.552,0.706,157.828,4,Yes
29,Murilo Huff,Desejando Eu (Ao Vivo),0.683,0.883,8,-2.502,1,0.0691,0.377,0,0.407,0.678,122.847,4,Yes
30,Gusttavo Lima,Café e Amor - Ao Vivo,0.6,0.75,0,-3.482,1,0.0448,0.393,0,0.0916,0.398,145.919,4,Yes
31,Wesley Safadão,Não Valeu,0.803,0.841,1,-4.117,1,0.0344,0.556,1.47E-06,0.0975,0.832,120.134,4,Yes
32,Henrique & Juliano,Briga Feia - Ao Vivo,0.59,0.846,11,-5.501,1,0.0616,0.108,0,0.93,0.565,167.991,4,Yes
33,Matheus & Kauan,Litrão - Ao Vivo,0.48,0.807,1,-7.402,1,0.195,0.356,0,0.626,0.536,153.61,4,Yes
34,Lauana Prado,Viva Voz - Ao Vivo,0.741,0.848,0,-3.64,1,0.0282,0.0518,0,0.491,0.885,128.036,4,Yes
35,Guilherme & Benuto,Pulei na Piscina - Ao Vivo,0.652,0.773,3,-5.203,1,0.128,0.449,0,0.166,0.527,113.788,4,Yes
36,Giulia Be,se essa vida fosse um filme,0.505,0.544,7,-7.607,0,0.18,0.726,0,0.41,0.753,75.511,4,Yes
37,Cardi B,WAP (feat. Megan Thee Stallion),0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4,Yes
38,MC Marks,Deus é por nós,0.782,0.475,8,-9.535,0,0.132,0.247,0,0.0785,0.441,94.928,4,Yes
39,The Weeknd,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,Yes
40,Luísa Sonza,TOMA,0.762,0.597,5,-5.306,0,0.282,0.0999,0,0.19,0.267,75.063,4,Yes
41,Manu Gavassi,Deve ser horrível dormir sem mim,0.698,0.722,1,-6.571,1,0.146,0.0134,1.03E-05,0.115,0.753,126.739,5,Yes
42,Luíza & Maurílio,S de Saudade,0.714,0.712,11,-4.403,1,0.0545,0.621,0,0.127,0.789,123.804,4,Yes
43,Matuê,777-666,0.544,0.802,10,-4.534,0,0.326,0.0534,0,0.139,0.322,179.924,4,Yes
44,Niack,Na Raba Toma Tapão,0.962,0.787,3,1.509,0,0.0554,0.666,5.74E-05,0.176,0.968,130.003,4,Yes
45,Conde do Forró,Romance Desapegado,0.749,0.74,7,-4.786,0,0.0273,0.505,9.09E-05,0.0989,0.611,122.04,4,Yes
46,Henrique & Juliano,Liberdade Provisória - Ao Vivo,0.668,0.684,1,-5.937,1,0.0527,0.627,0,0.923,0.7,108.138,4,Yes
47,Gusttavo Lima,Tudo que Eu Queria - Ao Vivo,0.654,0.648,4,-4.462,1,0.0443,0.406,0,0.104,0.612,143.838,4,Yes
48,Marcos & Belutti,Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,0.536,0.854,1,-4.012,0,0.0637,0.127,0,0.107,0.769,75.95,4,Yes
49,Marília Mendonça,Graveto - Ao Vivo,0.714,0.632,9,-5.1,1,0.0312,0.292,0,0.812,0.402,93.052,4,Yes
